,date,county,state,fips,cases,deaths,2021-03-21_Cases_Num,2021-03-21_Deaths_Num,diff_From_2021-03-21_Cases_Num,diff_From_2021-03-21_Deaths_Num
95962,2021-03-28,Bernalillo,New Mexico,35001,54495,901,54052,894,443,7
95963,2021-03-28,Catron,New Mexico,35003,83,5,83,5,0,0
95964,2021-03-28,Chaves,New Mexico,35005,8958,163,8936,163,22,0
95965,2021-03-28,Cibola,New Mexico,35006,3458,106,3453,106,5,0
95966,2021-03-28,Colfax,New Mexico,35007,872,47,869,47,3,0
95967,2021-03-28,Curry,New Mexico,35009,5033,72,5009,70,24,2
95968,2021-03-28,De Baca,New Mexico,35011,133,1,133,1,0,0
95969,2021-03-28,Doña Ana,New Mexico,35013,23975,417,23772,410,203,7
95970,2021-03-28,Eddy,New Mexico,35015,6656,121,6615,120,41,1
95971,2021-03-28,Grant,New Mexico,35017,1613,35,1590,35,23,0
95972,2021-03-28,Guadalupe,New Mexico,35019,627,9,617,9,10,0
95973,2021-03-28,Harding,New Mexico,35021,9,0,9,0,0,0
95974,2021-03-28,Hidalgo,New Mexico,35023,352,9,351,9,1,0
95975,2021-03-28,Lea,New Mexico,35025,8946,159,8908,157,38,2
95976,2021-03-28,Lincoln,New Mexico,35027,1586,17,1576,17,10,0
95977,2021-03-28,Los Alamos,New Mexico,35028,496,6,494,6,2,0
95978,2021-03-28,Luna,New Mexico,35029,3226,84,3183,84,43,0
95979,2021-03-28,McKinley,New Mexico,35031,12138,455,12109,454,29,1
95980,2021-03-28,Mora,New Mexico,35033,168,6,168,6,0,0
95981,2021-03-28,Otero,New Mexico,35035,4707,71,4659,71,48,0
95982,2021-03-28,Quay,New Mexico,35037,427,8,425,8,2,0
95983,2021-03-28,Rio Arriba,New Mexico,35039,3469,73,3447,71,22,2
95984,2021-03-28,Roosevelt,New Mexico,35041,1863,53,1857,52,6,1
95987,2021-03-28,Sandoval,New Mexico,35043,11295,220,11182,215,113,5
95985,2021-03-28,San Juan,New Mexico,35045,13720,460,13641,453,79,7
95986,2021-03-28,San Miguel,New Mexico,35047,1313,13,1310,13,3,0
95988,2021-03-28,Santa Fe,New Mexico,35049,10049,142,9994,142,55,0
95989,2021-03-28,Sierra,New Mexico,35051,710,45,708,45,2,0
95990,2021-03-28,Socorro,New Mexico,35053,1242,56,1233,56,9,0
95991,2021-03-28,Taos,New Mexico,35055,1608,50,1599,50,9,0
95992,2021-03-28,Torrance,New Mexico,35057,722,12,717,12,5,0
95993,2021-03-28,Union,New Mexico,35059,411,9,411,9,0,0
95995,2021-03-28,Valencia,New Mexico,35061,6684,102,6621,101,63,1
